Ad_link,location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
https://www.olx.in/item/book-3bhk-in-hero-homes-mohali-1481sqft-iid-1683233812,"Sector 88, Mohali, Punjab",['Apartments'],['1481'],['3'],['3'],['Semi-Furnished'],['New Launch'],['4'],['North-East'],"₹ 85,30,000"
https://www.olx.in/item/3055-3bhk-brand-new-house-for-sale-in-jp-nagar-muda-property-iid-1669490749,"JP Nagar, Mysuru, Karnataka",['Houses & Villas'],['1650'],['3'],['3'],['Furnished'],['Ready to Move'],,['South-East'],"₹ 1,05,00,000"
https://www.olx.in/item/4bhk-ready-possession-near-galaxy-circle-pal-iid-1658148117,"Pal Village, Surat, Gujarat",['Apartments'],['3051'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 1,70,00,000"
https://www.olx.in/item/12-cents-with-old-house-thevara-iid-1685754128,"Thevara, Kochi, Kerala",['Houses & Villas'],['3000'],['4'],,,,,,"₹ 1,50,00,000"
https://www.olx.in/item/1bhk-flat-in-laxmi-nagar-jhotwara-jaipur-iid-1670684751,"Mayur Vihar, Jaipur, Rajasthan",['Apartments'],['450'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 10,50,000"
https://www.olx.in/item/3bhk-jda-approved-flat-in-laxmi-nagar-jhotwara-near-murlipura-jaipur-iid-1668569269,"Mayur Vihar, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,00,000"
https://www.olx.in/item/3bhk-jda-approved-flat-in-ganesh-nagar-22-gokulpura-iid-1651768559,"Hanumant Nagar, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,00,000"
https://www.olx.in/item/independent-house-kakkanad-thevakkal-kuzhivelippady-edappalli-infopark-iid-1586669712,"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 60,00,000"
https://www.olx.in/item/kakkanad-kuzhivelippady-infopark-3bhk-thevakkal-kakanad-edappalli-iid-1542237829,"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1600'],['3'],['3'],['Furnished'],['Ready to Move'],['2'],['West'],"₹ 55,00,000"
https://www.olx.in/item/low-cost-apartments-at-avinashi-road-book-now-iid-1681361097,"Peelamedu, Coimbatore, Tamil Nadu",['Apartments'],['920'],['2'],['2'],['Unfurnished'],['Under Construction'],['1'],['North-East'],"₹ 45,00,000"
https://www.olx.in/item/villas-at-calicut-pantheerankavu-iid-1677053884,"Pantheerankavu, Olavanna, Kerala",['Houses & Villas'],['1400'],['3'],['3'],['Semi-Furnished'],['Under Construction'],['1'],['East'],"₹ 65,00,000"
https://www.olx.in/item/3bhk-flat-28-lac-me-jhotwara-kalwar-road-iid-1674286165,"Kalwar Road, Jaipur, Rajasthan",['Apartments'],['1050'],['3'],['2'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 27,92,356"
https://www.olx.in/item/3bhk-flat-laxminagar-niwaru-road-jaipur-iid-1672815964,"Niwaru Road, Jaipur, Rajasthan",['Apartments'],['1050'],['3'],['2'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 27,99,632"
https://www.olx.in/item/3bhk-flat-28-lacme-nagalphuli-niwaru-road-iid-1672219795,"Laxmi Nagar, Jaipur, Rajasthan",['Apartments'],['1150'],['3'],,['Furnished'],['Ready to Move'],['1'],['East'],"₹ 27,96,666"
https://www.olx.in/item/hndta-approved-villa-iid-1674805569,"Nagondapalli, Mathigiri, Tamil Nadu",['Houses & Villas'],['900'],['2'],['2'],['Unfurnished'],['New Launch'],['0'],['East'],"₹ 33,00,000"
https://www.olx.in/item/newly-built-3-bedroom-house-for-sale-at-41-lakhs-iid-1655850921,"Edapally, Kochi, Kerala",['Houses & Villas'],['1300'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 41,00,000"
https://www.olx.in/item/3bhk-luxurious-flat-waghodia-dabhoi-road-rs3051lacs-iid-1680257816,"Waghodia Road, Vadodara, Gujarat",['Apartments'],['00'],['3'],['3'],['Unfurnished'],['Under Construction'],['7'],['East'],"₹ 30,51,000"
https://www.olx.in/item/1650sqft-chanthavila-iid-1643497551,"Kazhakoottam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1650'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 65,00,000"
https://www.olx.in/item/premium-gated-community-23bhk-flats-with-world-class-amenities-iid-1682365798,"Patancheru, Hyderabad, Telangana",['Apartments'],['1285'],['2'],['2'],['Semi-Furnished'],['Under Construction'],['8'],['North-East'],"₹ 36,87,454"
https://www.olx.in/item/3bhk-spacious-flats-iid-1683995008,"Bill Road, Vadodara, Gujarat",['Builder Floors'],['2100'],['3'],['3'],['Unfurnished'],['Under Construction'],['1'],['East'],"₹ 41,99,000"
https://www.olx.in/item/house-for-sale-in-meerut-bypass-iid-1679467519,"Ved Vyas Puri, Meerut, Uttar Pradesh",['Houses & Villas'],['1250'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 32,50,000"
https://www.olx.in/item/ambalapara-new-duplex-villa-near-to-railway-station-iid-1684550813,"Ottapalam, Ottappalam, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 38,00,000"
https://www.olx.in/item/80-laksh-thrissur-prime-location-housevilla-for-sale-in-thrissur-iid-1684550245,"Punkunnam, Thrissur, Kerala",['Houses & Villas'],['2100'],['4'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 80,00,000"
https://www.olx.in/item/kerala-traditional-model-4-bhk-duplex-house-for-sale-in-thrissur-iid-1684550164,"Punkunnam, Thrissur, Kerala",['Houses & Villas'],['2100'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 80,00,000"
